Step,svc_Stratified,lr_Stratified,hgb_Stratified,mnb_Stratified,cnb_Stratified
1. Baseline (Raw),0.669564005323623,0.66705322569259,0.6199535983747363,0.640072430070031,0.6360545478623089
2. + Cleaner & Dedup,0.678069959623718,0.6742997327111006,0.6259335136044012,0.6483907365524549,0.6443534112923681
3. + Features & Source,0.7235781208554583,0.7193628378827039,0.6895994757020741,0.7057485776585825,0.6972226102659036
4. + PageRank,0.7280091041990482,0.7238661429270113,0.6966949940936183,0.7064630438318443,0.6967657298811089
5. + Time Features,0.7192260176659424,0.7139651205116283,0.6781552092948785,0.6782331069437251,0.6780385922579703
